
User,"One Piece","Qui est le roi des Pirates ?",Luffy,Roger,Zoro,Shanks,question1_2
User,"One Piece","Qui est la navigatrice ? ",Nami,Robin,Carrot,Hancock,question2_1
User,"One Piece","Qui est le roi des Pirates ?",Luffy,Roger,Zoro,Shanks,question1_2
User,"One Piece","Qui est la navigatrice ? ",Nami,Robin,Carrot,Hancock,question2_1
User,"One Piece","Qui est le roi des Pirates ?",Luffy,Roger,Zoro,Shanks,question1_2
User,"One Piece","Qui est la navigatrice ? ",Nami,Robin,Carrot,Hancock,question2_1
User,"One Piece","Qui est le roi des Pirates ?",Luffy,Roger,Zoro,Shanks,question1_2
User,"One Piece","Qui est le roi des Pirates ?",Luffy,Roger,Zoro,Shanks,question1_2
User,"One Piece","Qui est le roi des Pirates ?",Luffy,Roger,Zoro,Shanks,question1_2
User,"One Piece","Qui est le roi des Pirates ?",Luffy,Roger,Zoro,Shanks,question1_2
